item,label,site,geo,inscription
Q106675369,BGARR/1 (Ogham Stone Concept by CISP),Q85396837,POINT(-8.377222 52.381944),MAILAGNIMAQIGAMATI
Q106675370,BGLAS/1 (Ogham Stone Concept by CISP),Q85391683,POINT(-6.624444 52.966389),--]CCIMAQ[--
Q106675371,BHILL/1 (Ogham Stone Concept by CISP),Q85396931,POINT(-9.687778 52.161944),--]UN[--]CC[--
Q106675372,BIISL/1 (Ogham Stone Concept by CISP),Q85393915,POINT(-8.360556 52.008611),--]OLAGNIMAQ[--
Q106675373,BLHER/1 (Ogham Stone Concept by CISP),Q85395552,POINT(-10.159444 52.186944),COIMAGNIMAQIVI 
Q106675374,BLHUN/1 (Ogham Stone Concept by CISP),Q85395518,POINT(-10.029722 52.1875),DUGENNGGI 
Q106675375,BLNIG/1 (Ogham Stone Concept by CISP),Q85393959,POINT(-10.382222 52.166667),LUGUQRITMA[QI] 
Q106675376,BLTAG/1 (Ogham Stone Concept by CISP),Q85393964,POINT(-10.031111 52.1725),AKEVRITTI
Q106675377,BLTAG/2 (Ogham Stone Concept by CISP),Q85393964,POINT(-10.031111 52.1725),MAQQIIARIKIMA 
Q106675378,BLTAG/3 (Ogham Stone Concept by CISP),Q85393964,POINT(-10.031111 52.1725),DOVETIMAQQI 
Q106675379,BLTAG/4 (Ogham Stone Concept by CISP),Q85393964,POINT(-10.031111 52.1725),SUVALLOSMAQ 
Q106675380,BLTAG/5 (Ogham Stone Concept by CISP),Q85393964,POINT(-10.031111 52.1725),MAQIDECCEDA 
Q106675382,BLTAG/6 (Ogham Stone Concept by CISP),Q85393964,POINT(-10.031111 52.1725),TRIAMAQAMAILAGNI
Q106675383,BLTAG/7 (Ogham Stone Concept by CISP),Q85393964,POINT(-10.031111 52.1725),INISSIONAS
Q106675384,BLTAG/8 (Ogham Stone Concept by CISP),Q85393964,POINT(-10.031111 52.1725),CUNAMAQQIA 
Q106675385,BLTAG/9 (Ogham Stone Concept by CISP),Q85393964,POINT(-10.031111 52.1725),NETTALAMINACCAKO 
Q106675386,BLTER/1 (Ogham Stone Concept by CISP),Q85395620,POINT(-10.031389 52.155278),VOENACUNASM[--
Q106675388,BLTER/2 (Ogham Stone Concept by CISP),Q85395620,POINT(-10.031389 52.155278),[DGW!]OGNO
Q106675389,BLVOO/1 (Ogham Stone Concept by CISP),Q85396847,POINT(-7.439167 52.133333),QRIT[-- 
Q106675390,BLVOO/2 (Ogham Stone Concept by CISP),Q85396847,POINT(-7.439167 52.133333),NETAVRO 
Q106675391,BLYGH/1 (Ogham Stone Concept by CISP),Q85395592,POINT(-10.3275 52.151389),QENILOCIMAQIMAQIAINIAMUC[--
Q106675392,BQUIN/1 (Ogham Stone Concept by CISP),Q85396916,POINT(-7.385 52.311111),CATABARMOCOVIRICORB
Q106675393,BRAGH/1 (Ogham Stone Concept by CISP),Q85395517,POINT(-10.323333 52.160556),[--]
Q106675394,BRAGH/2 (Ogham Stone Concept by CISP),Q85395517,POINT(-10.323333 52.160556),MAQ[U!]LIAGMAQI 
Q106675395,BRCKN/1 (Ogham Stone Concept by CISP),Q85395554,POINT(-10.036389 52.146944),--][MAQ]QIMUCC[OI][--
Q106675396,BREAS/1 (Ogham Stone Concept by CISP),Q85390394,POINT(-9.248056 54.248611),L[E]GG[--]SD[--]LEGwESCAD
Q106675398,BRHAM/1 (Ogham Stone Concept by CISP),Q85395594,POINT(-10.306944 52.125833),MAQQIERCCIASMAQQIMUCOIDOVINIA
